1	0	1	1	279	1688400	7697	1.6	464	94	51313	0
2	0	1	1	360	3140000	11234	5	889	242	226400	1
3	0	1	1	411	6650000	30000	3.06	1649	130	270000	0
4	0	1	1	421	7080000	33000	3.06	1714	140	273000	0
5	0	1	1	307	1015000	12200	5.4	337	605	170500	1
6	0	1	1	310	960000	14700	5.4	316	540	184700	1
7	0	1	1	286	4650000	11000	3.4	1657	90.5	161000	0
8	0	1	1	259	5860000	54740	3	2306	92.9	269000	0
9	0	1	1	279	3015000	7330	3	1102	80.5	96000	0
10	0	1	1	253	502600	877.5	0.55	202.5	49	10800	0
11	0	1	1	286	15120000	133143	3.05	5389	140	887618	0
12	0	1	1	280	2260000	17423	3.71	823	120	116157	0
13	0	1	1	284	21500000	10500	2.5	7728	114	76600	0
14	0	2	2.65	172	2093300	4187	3.05	1241	172	217571	1
15	0	1	1	75	1650208	14993	2.36	2250	81	197279	0
16	0	1	1	266	478000	1810	3.71	183	56	12068	0
17	0	1	1	280	745000	2872	3.71	271	60	19145	0
18	0	1	1	238	499248	1167	1.08	214	55	12967	0
19	0	1	1	274	492900	2071	1.08	183	64	13807	0
20	0	1	1	278	628300	3049	1.08	230	75	20328	0
21	0	1	1	245	826600	2341	1.6	344	91	33638	0
22	0	1	1	360	1662746	5100	1.6	470	94	49300	0
23	0	1	1	354	2025720	5400	1.6	583	84	54400	0
24	0	1	1	269	14600000	32889	3.71	5533	126	730000	0
25	0	3	1	224	14678400	88435	3.71	6682	75	589569	0
26	0	1	1	262	1407000	6762	1	547	70	45082	0
27	0	1	1	262	510000	1541	1	198	44	10271	0
28	0	1	1	262	2814000	13525	1	1095	70	90164	0
29	0	1	1	262	4221000	20287	1	1642	70	135246	0
30	0	1	1	269	4860000	22000	2.8	1382	100	160200	0
31	0	1	1	275	5150000	31000	3.2	1602	128	236000	0
32	0	3	1	272	14234000	112965	3.05	5334	120	753098	0
101	1	2	2.5	300	1200000	2000	1.338	408	0	0	1
102	1	2	2.5	300	1223500	2700	1.338	416	0	0	1
103	1	2	2.6	306	4800000	6000	3.15	1599	0	0	1
104	1	4	2	260.66	740400	1500	0.84	290	0	0	1
105	1	4	2	260.7	740400	1500	0.84	290	0	0	1
106	1	4	2	260.66	740400	1500	1	290	0	0	1
107	1	5	5	310.2	510000	2700	1.45	168	0	0	1
108	1	1	1	279	1688400	7697	1.6	464	0	0	0
109	1	2	2.72	300	2200000	2000	1.9	748	0	0	1
110	1	2	2.6	330	27000	75	1.32	8	0	0	1
111	1	1	1	286	4650000	11000	3.4	1657	0	0	0
112	1	1	1	259	5860000	54740	3	2306	0	0	0
113	1	1	1	279	3015000	7330	3	1102	0	0	0
114	1	5	5.05	450	490000	1400	2	111	0	0	1
115	1	6	2.4	450	2400000	1400	2.7	544	0	0	1
116	1	2	2.6	295.6	184000	450	1.8	63	0	0	1
117	1	1	1	253	502600	877.5	0.55	202.5	0	0	0
118	1	1	1	284	2150000	10500	2.5	7728	0	0	0
119	1	2	2.3	297	1510000	1222	2	518	0	0	1
120	1	6	2.4	284	667000	800	3.35	239	0	0	1
121	1	2	2.62	290	100000	350	3	35	0	0	1
122	1	5	5.9	338	870000	1800	4	262	0	0	1
123	1	1	1	360	1662746	5100	1.6	470	0	0	0
124	1	1	1	354	2025720	5400	1.6	583	0	0	0
125	1	2	2.72	263.2	839449	1090	1.85	325	0	0	1
126	1	2	2.72	309.5	7256921	9300	4.02	2390	0	0	1
127	1	2	2.72	311.9	3826555	5480	3.15	1251	0	0	1
128	1	2	2.72	311.9	1922000	2200	3.15	628	0	0	1
129	1	2	2.72	311.2	1922103	2200	1.45	630	0	0	1
130	1	2	2.72	311.2	1922013	1900	2.1	630	0	0	1
131	1	4	2	288	1671053	1120	1.5	591	0	0	1
132	1	3	1	269	14600000	1500	3.71	5533	0	0	0
133	1	2	2.65	200.7	1198608	1630	4	609	0	0	1
134	1	2	2.65	299	1876149	2800	1.45	640	0	0	1
135	1	2	2.684	301.5	777667	1353	4	263	0	0	1
136	1	2	2.6	330	32000	125	0.64	10	0	0	1
137	1	6	2.4	310	86740	225	0.75	29	0	0	1
138	1	5	5.97	366	1860000	3526	2.4	518	0	0	1
139	1	5	5.97	362	3135996	6686	2.43	883	0	0	1
140	1	2	2.7	311	16890	35	1	6	0	0	1
141	1	1	1	269	4860000	22000	2.8	1382	0	0	0
142	1	1	1	274.5	5150000	31000	4	1912	0	0	0
143	1	5	5	318	939500	1800	1.76	301	0	0	1
144	1	2	2.6	311	845000	470	0.92	277	0	0	1
145	1	6	3.8	334	3050000	1360	1.7	931.2	0	0	1
146	1	2	2.6	350	266893	500	1.5	78	0	0	1
201	2	2	2.4	341.5	740400	1500	2.325	221	0	0	1
202	2	4	2	298	738400	1500	1	253	0	0	1
203	2	4	2	298	742040	1500	0.84	254	0	0	1
204	2	4	2	298	741400	1500	1	254	0	0	1
205	2	4	2	298	741400	1500	0.84	254	0	0	1
206	2	4	2	303	103000	250	0.63	35	0	0	1
207	2	4	2	315	6500	25	3.8	2	0	0	1
208	2	5	5	420	44150	250	2.2	11	0	0	1
209	2	5	5	438	167170	1500	3.3	39	0	0	1
210	2	5	5	442	86260	500	5	20	0	0	1
211	2	5	5.5	453	2300000	5000	2.05	518	0	0	1
